,NEWS_HEADER,LABEL
0,"Ahora resulta que no puedes utilizar la palabra ""frappuccino"" porque le pertenece a Starbucks 😟",0
1,"Previo a la celebración del día del Maestro en la sede de la SEP, la jefa de Gobierno, _USER_ el secretario de Gobernación, _USER_ y la secretaria de Seguridad, _USER_ caminando por la calle de Brasil.",0
2,"""Estamos muy contentos con esta gran obra del presidente"", dijo Claudia Sheinbaum al llegar a Tabasco. ""En la 4T no desperdiciamos dinero en bardas o estelas de luz""",1
3,"Por lo menos 250 participantes, entre bomberos y ciudadanos, participaron en la carrera vertical en la Torre Reforma en donde tuvieron que correr 53 pisos.",0
4,El presidente López Obrador amagó con exhibir a las cadenas comerciales si incumplen con el Paquete contra la Inflación y Carestía. 👇,1
5,"_HASHTAG_ columna de _USER_ ¿Y el acuerdo contra la carestía? | Mucho discurso, mucho ""apoyo"" y ""disposición"", pero lejos está la IP de cumplir con lo que se ""comprometió"" en el acuerdo contra la _HASHTAG_ y la carestía que _HASHTAG_ dio a conocer.",0
6,"Se condonará impuesto predial por dos años a quienes paguen 2022. La medida, para apoyar estrategia presidencial. Anuncia la mandataria _USER_ jornadas del bienestar para llevar alimentos y servicios a zonas marginadas.",1
7,"_HASHTAG_ Astrónomos revelaron la primera imagen del agujero negro supermasivo en el centro de la Vía Láctea, utilizando observaciones de una red mundial de radiotelescopios.",0
8,"Representantes de más de 30 colegios, asociaciones y federaciones de médicos especialistas rechazaron el anuncio del gobierno federal de contratar a médicos de otro país. Lo consideran ""una falta grave en contra de los profesionales de la salud de México"".",1
9,"_HASHTAG_ _HASHTAG_ se reunirá en total con 12 mil agrónomos y técnicos, “para impulsar la campaña de sembrar para el autoconsumo en el país”.Adelantó que acudirá a _HASHTAG_ Al pueblo seri le propondrá no permitir la caza del _HASHTAG_",0
10,Limitar el acceso al aborto es malo para la economía; aquí las razones,1
11,“Nunca digas nunca”: Melania Trump se refirió a un segundo mandato como primera dama en la primera entrevista desde que dejó la Casa Blanca,1
12,Elon Musk afirma que el equipo legal de Twitter le dijo que violó un acuerdo de confidencialidad,1
13,"Una nueva investigación de la revista científica Science Advances advierte que el cambio climático provocará que los océanos ""pierdan su memoria"". Aquí te explicamos.",1
14,_HASHTAG_ Qué puede pasar si Finlandia se une a la OTAN,1
15,"Cómo sobrevivir al ataque de un caimán, o mejor aún, evitarlo por completo",0
16,"Lo que sabemos sobre Payton Gendron, el sospechoso del tiroteo en el supermercado de Buffalo",1
17,La corte anuló la prohibición de vender armas semiautomáticas a menores de 21 años en California,1
18,Los cubanos están llegando a Estados Unidos en cifras récord. Los traficantes se aprovechan de su éxodo,1
19,La escasez de fórmula para bebes en EE.UU. preocupa a los padres. ¿A qué se debe este desabastecimiento?,1
20,"""Un mamarracho dispuesto a colgarse de cualquier cosa por atención"", escribió el secretario de Desarrollo Económico de la Ciudad de México ""No estás en edad de hacer el ridículo"", critica titular de Sedeco a Calderón por festejo con ""Checo""",0
21,"El Presidente lleva a la mañanera un vapeador que dice se encontró y que cuesta 300 pesos: ""Es poner el tema sobre la mesa porque estoy seguro, me dejo de llamar Andrés Manuel, que la mayoría de las madres y padres no saben del daño que ocasiona""",1
22,"_HASHTAG_ Ningún médico especialista se ha postulado para las 9,725 vacantes en localidades con menos de 200 mil habitantes, zonas rurales y comunidades indígenas, informó _USER_ director del _USER_ Se remarcó el severo déficit de especialistas. (Más de 9 mil aspirantes a plazas médicas; la mayoría, para grandes ciudades)",1
23,"""Yo no soy Felipe Calderón"": _HASHTAG_ asegura que el crimen organizado no gobierna el país",1
24,"En Badiraguato, Sinaloa, fueron detenidas cuatro personas presuntamente involucradas en un retén a reporteros que cubrían la gira del presidente Andrés Manuel López Obrador el pasado viernes. (Detienen a 4 presuntos implicados en retén a periodistas en Sinaloa)",1
25,¡Que no te agarre el SAT! Recomiendan dejar de hacerte transferencias bancarias entre tus propias cuentas,1
26,"Elizabeth Duval: ""He soportado muchísimos más comentarios asquerosos por ser lesbiana que por ser trans""",1
27,"El presidente, López Obrador visitará este viernes el ""Triangulo Dorado"", zona de producción de narcóticos y lugar de origen de ""El Chapo"" Guzmán 👇",0
